Y,X1,X2,X3
28033135,533,335,157
381831750,761,750,669
125734536,738,191,892
81178560,576,397,355
147805515,309,715,669
48460760,692,94,745
2444464,374,43,152
10112025,231,103,425
5094420,985,862,6
47338200,510,340,273
22731894,67,927,366
2062368,27,308,248
8867960,445,212,94
162317360,697,568,410
11114124,102,181,602
426482,2,287,743
146887200,225,887,736
238627200,265,938,960
366227568,876,553,756
16203810,755,42,511
404542854,978,519,797
339432092,706,842,571
7395732,124,141,423
66086465,779,235,361
293865174,953,333,926
77604436,343,247,916
300271850,914,425,773
81202095,689,485,243
198525600,450,624,707
98176116,346,722,393
78719522,277,383,742
256668750,625,486,845
168252315,385,779,561
680400,5,336,405
308800673,599,631,817
418182400,722,724,800
104775120,270,437,888
40953450,925,141,314
133602560,592,455,496
626440254,921,719,946
9211200,114,200,404
60839936,974,488,128
3538458,207,77,222
23301300,307,660,115
5330556,641,77,108
860370,3,482,595
18661209,777,329,73
72894640,760,119,806
55474864,226,488,503
757242,379,27,74
289038390,691,955,438
219525012,513,476,899
8281886,989,106,79
4440150,234,75,253
95425980,893,548,195
513408,382,48,28
48520758,97,583,858
372703500,750,554,897
2036496,168,638,19
15284174,334,683,67
3997000,571,7,1000
8048820,663,20,607
240568610,577,865,482
22636800,75,576,524
54941940,180,577,529
31880160,240,393,338
14799510,906,135,121
219656073,637,839,411
21496020,182,155,762
14223792,363,248,158
617325968,944,721,907
6565725,639,75,137
188067000,695,550,492
71818320,186,392,985
280038220,803,658,530
53578800,968,123,450
596400,60,20,497
293462880,355,872,948
779220,3,351,740
192956400,546,380,930
21398520,946,145,156
10000650,95,121,870
62861960,974,461,140
22786352,47,772,628
84472272,124,762,894
37624224,902,88,474
5525200,100,76,727
171804780,645,882,302
13970880,385,189,192
185407950,455,705,578
149644,22,38,179
154165088,308,703,712
228200980,658,439,790
1493790,5,986,303
47985952,406,712,166
6006495,165,59,617
16368000,125,992,132
36967500,155,318,750
335032320,779,512,840
142263960,930,916,167
491350608,732,786,854
47713440,96,535,929
2051050,127,850,19
247265424,651,579,656
57192300,212,825,327
410843992,722,706,806
101266499,557,281,647
446328036,693,843,764
189810930,283,849,790
15278608,146,508,206
11729640,24,949,515
164311680,960,754,227
2189712,147,16,931
36029400,550,618,106
23498464,176,482,277
13493592,246,653,84
2776008,428,94,69
51441648,362,186,764
39931584,292,814,168
703723824,954,874,844
54578304,128,803,531
26467560,389,280,243
139420680,917,210,724
257451915,615,553,757
29979040,65,568,812
126399000,525,520,463
95282688,534,272,656
215450664,439,507,968
500390388,846,866,683
131900608,301,668,656
4128048,24,263,654
17365920,460,572,66
14159616,96,206,716
37612245,391,265,363
169302528,666,384,662
147746280,274,946,570
119483364,377,924,343
4356660,246,253,70
169501248,519,972,336
199593835,541,415,889
72083250,354,375,543
121293909,411,363,813
102448113,321,439,727
15036030,570,27,977
160450668,893,644,279
313011675,555,755,747
215753664,456,568,833
26972400,546,52,950
148368495,505,307,957
263078400,960,680,403
177368373,617,351,819
18050865,599,205,147
203548800,932,800,273
56849920,160,848,419
34202250,225,563,270
45896175,765,169,355
733392725,923,859,925
5580224,353,988,16
101114208,956,234,452
487692062,806,737,821
1500720,130,12,962
8115576,147,268,206
58620120,709,312,265
89012,374,14,17
